code,name,EBITDA마진율(%),차입금의존도(%),차입금/EBITDA(TTM)(배),현금흐름(TTM)/차입금(%),금융비용(천원),자본총계(천원),이자발생부채(천원),C>=5,D<=50,E<=10,F>=10,G/H<=0.75,score,internal_rating,ag3_reason
00362,KG모빌리티,5.05,15.7,2.44,51.2,10000165.47,1511481608.09,561392486.31,1,1,1,1,1,0,AG2,
00365,미창석유,14.54,2.46,0.34,388.8,189683.97,491476165.64,13875098.13,1,1,1,1,1,0,AG2,
00367,포스코퓨처엠,9.32,43.98,18.24,5.1,74519564.79,4617557017.89,4186717844.76,1,1,0,0,1,2,AG2,
00368,한성기업,4.68,46.74,13.06,3.09,1301594.83,69196342.96,114379076.11,0,1,0,0,1,3,AG3,score
00369,코리안리,16.57,0,,,,3797304610.76,,1,1,,,,,AG3,재무정보 미제공
00372,삼영,16.46,43.72,4.18,33.6,546751.47,93216747.76,90062973.51,1,1,1,1,1,0,AG2,
00378,진양산업,11.36,27.1,1.14,68.77,227017.84,64939398.83,31064756.28,1,1,1,1,1,0,AG2,
00380,에이스침대,18.81,0.07,0.01,10717.62,854243.6,740062791.82,609632,1,1,1,1,1,0,AG2,
00383,대한화섬,-1.89,0.05,-0.06,2029.43,450334.73,714708636.47,402754.39,0,1,1,1,1,1,AG2,
00385,보령,12.27,20.54,3.04,43.25,7566651.2,873714279.79,287903078.95,1,1,1,1,1,0,AG2,
00392,남양유업,2.9,1.24,0.44,264.11,180017.89,940406472.54,13945630.06,0,1,1,1,1,1,AG2,
00396,사조대림,4.63,32.63,4.4,-0.69,7691349.01,796096999.04,705911702.93,0,1,1,0,1,2,AG2,
00400,롯데정밀화학,15.2,2.42,0.28,203.32,583747.61,2442464582.96,67106650,1,1,1,1,1,0,AG2,
00402,현대제철,7.44,31.27,5,17.32,176846833.14,19840668313.72,10956029824.84,1,1,1,1,1,0,AG2,
00406,SG세계물산,-4.27,1.6,9.18,24.46,40721.22,262094535.85,4655811.25,0,1,1,1,1,1,AG2,
00408,신흥,6.69,10.81,1.03,88.98,438120.33,113990457.05,16624371.03,1,1,1,1,1,0,AG2,
00409,한국석유,3.83,35.15,7.79,9.55,4040407.72,206865611.68,155758637.49,0,1,1,0,1,2,AG2,
00410,태양금속,6.57,38.66,7.14,7.34,4190117.74,169602603.65,242719136.98,1,1,1,0,1,1,AG2,
00414,동방,5.8,49.78,4.85,16.94,7418382.64,179362866.06,331859789.09,1,1,1,1,1,0,AG2,
00415,한솔홀딩스,5.39,9.06,1.35,48.44,1467849,652361295,82632123,1,1,1,1,1,0,AG2,
00417,신세계,17.89,33.09,5.44,10.86,79790181.56,6793493750.39,5289824619.73,1,1,1,1,1,0,AG2,
00427,남성,6.83,37.17,148.83,-3.27,5598287.73,106548584.26,103243036,1,1,0,0,1,2,AG2,
00431,현대약품,8.04,22.35,4.32,17.73,552420.15,134814872.66,50124898.4,1,1,1,1,1,0,AG2,
00436,세방,5.71,7.7,1.84,82.32,2426712.76,1227227616.39,118347967.86,1,1,1,1,1,0,AG2,
00437,농심,10.63,4.45,0.57,156.65,6857769.02,2922937865.14,178266044.12,1,1,1,1,1,0,AG2,
00438,삼익THK,1.03,44.86,-10.9,-13.62,1507449.48,152360585.01,179299197,0,1,1,0,1,2,AG2,
00441,서울식품,5.5,36.77,7.42,9.34,697564.42,26901918.73,27488698.54,1,1,1,0,1,1,AG2,
00443,송원산업,13.76,15.31,2.88,23.5,14030000,781100000,185871000,1,1,1,1,1,0,AG2,
00444,삼일씨엔에스,9.28,29.68,7.71,12.05,1341190.85,268649060.84,132439493.03,1,1,1,1,1,0,AG2,
00445,삼화왕관,10.66,31.98,4.41,19.82,732940.55,120721271.75,70359579.03,1,1,1,1,1,0,AG2,
00449,세방전지,9.47,11.63,1.28,77.29,18048780.21,1673785479.05,275683555.88,1,1,1,1,1,0,AG2,
00454,깨끗한나라,2.03,53.7,64.34,-5.75,6948313.23,162436993.97,331955220.77,0,0,0,0,1,4,AG3,score
00456,현대비앤지스틸,4.2,15.01,2.55,24.4,3648242.88,523576698.41,111549844.38,0,1,1,1,1,1,AG2,
00459,한국가구,14.2,5.14,0.73,105.09,227378.01,202221759.48,13728069.73,1,1,1,1,1,0,AG2,
00465,창해에탄올,19.98,16.44,1.54,53.51,506734.95,144525526.51,32452826.8,1,1,1,1,1,0,AG2,
00469,삼천리,8.3,20.61,3.09,26.95,11145664.32,1981212749.43,987902491.54,1,1,1,1,1,0,AG2,
00470,조광피혁,9.31,0.01,0,37255.9,88053.62,582449806.44,33994.66,1,1,1,1,1,0,AG2,
00471,한솔테크닉스,7.83,26.5,3.76,19.73,14115328.83,503957518.43,280295007.07,1,1,1,1,1,0,AG2,
00472,팜젠사이언스,6.84,3.09,0.6,-878.51,62026.38,150361994.21,6143968.37,1,1,1,0,1,1,AG2,
00477,써니전자,17.5,0.29,0.1,1228.39,73834.67,84706829.57,249486.28,1,1,1,1,1,0,AG2,
00478,대륙제관,7.54,4.59,0.53,175.83,75955.69,159754967.09,10231116.23,1,1,1,1,1,0,AG2,
00480,효성,22.86,31.29,3.06,42.12,58446184.32,2897806525.72,1764987759.01,1,1,1,1,1,0,AG2,
00483,덕성,5.69,25.25,4.57,23.51,1388932.29,97599044.13,38368229.53,1,1,1,1,1,0,AG2,
